name;ID;country;province;prefecture/city ;county;latitude;longitude;date;host
GQ918133_IU_Jiangsu-Nanjing_2008;GQ918133;mainland China;Jiangsu;Nanjing;NA;NA;NA;2008;NA
GU108335_swine_Japan_2009;GU108335;Japan;NA;NA;NA;NA;NA;2009;swine
GU205163_human_Guangxi_2007-07;GU205163;mainland China;Guangxi;NA;NA;NA;NA;2007/07;human
GU253947_mosquito_Jiangsu-Haimen_2009-07;GU253947;mainland China;Jiangsu;Nantong;Haimen;NA;NA;2009/07;mosquito
GU253948_mosquito_Jiangsu-Qidong_2009-07;GU253948;mainland China;Jiangsu;Nantong;Qidong;NA;NA;2009/07;mosquito
GU253949_mosquito_Jiangsu-Qidong_2009-07;GU253949;mainland China;Jiangsu;Nantong;Qidong;NA;NA;2009/07;mosquito
GU253950_mosquito_Jiangsu-Haimen_2009-07;GU253950;mainland China;Jiangsu;Nantong;Haimen;NA;NA;2009/07;mosquito
GU253951_mosquito_Jiangsu-Nanjing_2008-07;GU253951;mainland China;Jiangsu;Nanjing;NA;NA;NA;2008/07;mosquito
GU253953_swine_Jiangsu-Jintan_2009-08;GU253953;mainland China;Jiangsu;Changzhou;Jintan;NA;NA;2009/08;swine
GU253954_mosquito_Jiangsu-Jintan_2008-07;GU253954;mainland China;Jiangsu;Changzhou;Jintan;NA;NA;2008/07;mosquito
GU253955_mosquito_Shanghai-Chongmingdao_2008;GU253955;mainland China;N;Shanghai;Chongmingdao;NA;NA;2008;mosquito
GU253956_swine_Zhejiang-Ningbo_2009-08;GU253956;mainland China;Zhejiang;Ningbo;NA;NA;NA;2009/08;swine
GU253957_swine_Jiangsu-Rugao_2009-08;GU253957;mainland China;Jiangsu;Nantong;Rugao;NA;NA;2009/08;swine
GU253958_mosquito_Zhenjiang_2009-06;GU253958;mainland China;Jiangsu;Zhenjiang;NA;NA;NA;2009/06;mosquito
GU253959_mosquito_Jiangsu-Yixing_2009-06;GU253959;mainland China;Jiangsu;Wuxi;Yixing;NA;NA;2009/06;mosquito
GU253960_swine_Shandong-Rizhao_2009-08;GU253960;mainland China;Shandong;Rizhao;NA;NA;NA;2009/08;swine
GU253961_mosquito_Zhejiang-Deqing_2008-07;GU253961;mainland China;Zhejiang;Huzhou;Deqing;NA;NA;2008/07;mosquito
GU556217_swine_Zhejiang-Jiaxing_2008-06;GU556217;mainland China;Zhejiang;Jiaxing;NA;NA;NA;2008/06;swine
GX-01_swine_Guangxi-Guigang_2017-08;GX-01;mainland China;Guangxi;Guigang;NA;NA;NA;2017/08;swine
GX-02_swine_Guangxi-Guigang_2018-07;GX-02;mainland China;Guangxi;Guigang;NA;NA;NA;2018/07;swine
GX-2016-1_swine_Guangxi-Nanning_2016;GX-2016-1;mainland China;Guangxi;Nanning;NA;NA;NA;2016;swine
GX-2016-2_swine_Guangxi-Yulin_2016;GX-2016-2;mainland China;Guangxi;Yulin;NA;NA;NA;2016;swine
GX-2016-3_swine_Guangxi-Yulin_2016;GX-2016-3;mainland China;Guangxi;Yulin;NA;NA;NA;2016;swine
GX-2016-4_swine_Guangxi-Yulin_2016;GX-2016-4;mainland China;Guangxi;Yulin;NA;NA;NA;2016;swine
GX-2016-5_swine_Guangxi-Guilin_2016;GX-2016-5;mainland China;Guangxi;Guilin;NA;NA;NA;2016;swine
HE565478_mosquito_Henan-Baofeng_2008;HE565478;mainland China;Henan;Pingdingshan;Baofeng;NA;NA;2008;mosquito
HE565479_mosquito_Henan_2008;HE565479;mainland China;Henan;NA;NA;NA;NA;2008;mosquito
HE565480_mosquito_Henan_2008;HE565480;mainland China;Henan;NA;NA;NA;NA;2008;mosquito
HE565482_swine_Henan_2009;HE565482;mainland China;Henan;NA;NA;NA;NA;2009;swine
HE565483_swine_Henan-Zhengzhou_2010;HE565483;mainland China;Henan;Zhengzhou;NA;NA;NA;2010;swine
HE565484_swine_Henan-Zhengzhou_2010;HE565484;mainland China;Henan;Zhengzhou;NA;NA;NA;2010;swine
HE861351_Japan_2009;HE861351;Japan;NA;NA;NA;NA;NA;2009;NA
